Sigla;Nome;Bacia ;Tipo;Operador;Latitude;Longitude;Lâmina D'água (m);Capacidade de Processamento Petróleo (bbl/dia);Capacidade de Processamento Gás (Mil m³/dia)
PVM-3;PLATAFORMA DE VERMELHO-III;Campos ;FIXA;Petrobras;-22:11:18,527;-40:18:17,781;82;12580;60
PXA01;PLATAFORMA DE XAREU 1;Ceará;FIXA;Petrobras;-03:01:50,403;-39:02:43,247;32;18849;200
PXA02;PLATAFORMA DE XAREU 2;Ceará;FIXA;Petrobras;-03:02:21,145;-39:02:30,188;45;0;0
PXA03;PLATAFORMA DE XAREU 3;Ceará;FIXA;Petrobras;-03:02:06,296;-39:01:30,911;45;0;0
POUB1;PLATAFORMA OESTE DE UBARANA 1;Potiguar ;FIXA;Petrobras;-04:53:13,779;-36:25:59,970;16;630;200
PCB01;PLATAFORMA PCB-01 DE CAIOBA;Sergipe;FIXA;Petrobras;-11:00:29,323;-36:55:58,132;28;0;0
PCB02;PLATAFORMA PCB-02 DE CAIOBA;Sergipe;FIXA;Petrobras;-11:00:01,656;-36:55:29,285;28;0;0
PCB04;PLATAFORMA PCB-04 DE CAIOBA;Sergipe;FIXA;Petrobras;-11:00:25,706;-36:55:33,196;26;0;0
PCM01;PLATAFORMA PCM-01 DE CAMORIM;Sergipe;FIXA;Petrobras;-10:59:38,118;-36:59:36,819;13;0;0
PCM02;PLATAFORMA PCM-02 DE CAMORIM;Sergipe;FIXA;Petrobras;-10:59:04,216;-36:58:55,840;15;0;0
PCM04;PLATAFORMA PCM-04 DE CAMORIM;Sergipe;FIXA;Petrobras;-10:59:07,736;-36:57:53,042;18;0;0
PCM05;PLATAFORMA PCM-05 DE CAMORIM;Sergipe;FIXA;Petrobras;-10:59:58,193;-36:58:19,505;20;0;0
PCM06;PLATAFORMA PCM-06 DE CAMORIM;Sergipe;FIXA;Petrobras;-10:58:59,914;-36:55:58,199;26;0;0
PCM08;PLATAFORMA PCM-08 DE CAMORIM;Sergipe;FIXA;Petrobras;-10:59:17,025;-36:56:16,719;26;0;0
PCM09;PLATAFORMA PCM-09 DE CAMORIM;Sergipe;FIXA;Petrobras;-10:59:13,473;-36:56:54,385;24;0;0
PCM10;PLATAFORMA PCM-10 DE CAMORIM;Sergipe;FIXA;Petrobras;-10:58:38,748;-36:57:04,099;21;0;0
PDO01;PLATAFORMA PDO-01 DE DOURADO;Sergipe;FIXA;Petrobras;-11:05:54,130;-36:57:35,127;27;0;0
PDO02;PLATAFORMA PDO-02 DE DOURADO;Sergipe;FIXA;Petrobras;-11:06:53,946;-36:57:59,440;28;0;0
PDO03;PLATAFORMA PDO-03 DE DOURADO;Sergipe;FIXA;Petrobras;-11:07:06,721;-36:58:48,867;28;0;0
PGA01;PLATAFORMA PGA-01 DE GUARICEMA;Sergipe;FIXA;Petrobras;-11:08:57,141;-37:02:57,195;29;0;0
PGA02;PLATAFORMA PGA-02 DE GUARICEMA;Sergipe;FIXA;Petrobras;-11:09:52,004;-37:03:09,486;25;0;0
PGA03;PLATAFORMA PGA-03 DE GUARICEMA;Sergipe;FIXA;Petrobras;-11:08:33,758;-37:02:24,217;28;0;0
PGA04;PLATAFORMA PGA-04 DE GUARICEMA;Sergipe;FIXA;Petrobras;-11:07:54,130;-37:02:51,362;24;0;0
PGA05;PLATAFORMA PGA-05 DE GUARICEMA;Sergipe;FIXA;Petrobras;-11:09:13,012;-37:03:42,995;25;0;0
PGA07;PLATAFORMA PGA-07 DE GUARICEMA;Sergipe;FIXA;Petrobras;-11:12:08,177;-37:04:46,675;27;0;0
PGA08;PLATAFORMA PGA-08 DE GUARICEMA;Sergipe;FIXA;Petrobras;-11:10:38,947;-37:01:06,846;38;0;0
PRB01;PLATAFORMA PRB-01 DE ROBALO;Sergipe;FIXA;Petrobras;-10:39:12,455;-36:38:02,530;13;0;0
POLVO A;Polvo A;Campos ;FIXA;PetroRio O&G;-23:05:01,730;-40:59:43,545;105;0;0
